id,titles,primary_title,year,rating,num_votes
tt0113537,Kicking and Screaming,Kicking and Screaming,1995,6.8,11234
tt0113538,A Kid in King Arthur's Court,A Kid in King Arthur's Court,1995,4.7,5649
tt0113540,Kids,Kids,1995,7.1,71875
tt0113552,Kiss of Death,Kiss of Death,1995,5.9,16706
tt0113568,Ghost in the Shell%Armored Riot Police%Kôkaku Kidôtai,Ghost in the Shell,1995,8.0,125928
tt0113613,The Last Supper,The Last Supper,1995,6.7,13955
tt0113627,Leaving Las Vegas,Leaving Las Vegas,1995,7.5,112802
tt0113670,A Little Princess,A Little Princess,1995,7.7,31587
tt0113677,Living in Oblivion,Living in Oblivion,1995,7.5,16124
tt0113690,Lord of Illusions,Lord of Illusions,1995,6.1,14381
tt0113691,Losing Isaiah,Losing Isaiah,1995,6.5,5431
tt0113703,Love Letter%When I Close My Eyes,Love Letter,1995,8.0,6928
tt0113720,Lust och fägring stor,Lust och fägring stor,1995,6.9,5686
tt0113729,Mad Love,Mad Love,1995,5.4,6046
tt0113749,Mallrats,Mallrats,1995,7.1,114658
tt0113755,Man 2 Man%Man of the House,Man of the House,1995,5.2,8576
tt0113762,The Mangler,The Mangler,1995,4.3,8245
tt0113799,Memories%Memorîzu,Memories,1995,7.6,15112
tt0113819,Mighty Aphrodite,Mighty Aphrodite,1995,7.0,37489
tt0113820,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie,1995,5.2,24888
tt0113824,Mimi wo sumaseba%Whisper of the Heart,Whisper of the Heart,1995,7.9,49260
tt0113845,Money Train,Money Train,1995,5.7,38350
tt0113855,Mortal Kombat,Mortal Kombat,1995,5.8,100028
tt0113862,Mr. Holland's Opus,Mr. Holland's Opus,1995,7.3,35034
tt0113870,Murder in the First,Murder in the First,1995,7.3,26174
tt0113936,National Lampoon's Senior Trip%Senior Trip,Senior Trip,1995,5.8,5399
tt0113957,The Net,The Net,1995,5.9,59485
tt0113965,Never Talk to Strangers,Never Talk to Strangers,1995,5.2,6248
tt0113972,Nick of Time,Nick of Time,1995,6.3,38476
tt0113986,Nine Months,Nine Months,1995,5.5,34737
